// wyst.syntaxWords.v0.9
// spelling	classification	owner	legal_positions	state
executable	contextual	core.project-manifests	manifest-artifact-declaration	implemented
benchmark	contextual	core.project-manifests	manifest-artifact-declaration	implemented
fixture	contextual	core.project-manifests	manifest-artifact-declaration	implemented
static_library	contextual	core.project-manifests	manifest-artifact-declaration	reserved
root	contextual	core.project-manifests	manifest-artifact-root-clause	implemented
output	contextual	core.project-manifests	manifest-artifact-output-clause	implemented
companion	contextual	core.project-manifests	manifest-static-library-companion-clause	reserved
from	contextual	core.project-manifests	manifest-layout-source-marker	implemented
profile	contextual	core.project-manifests	manifest-profile-clause	implemented
debug	contextual	core.project-manifests	manifest-debug-policy-clause	implemented
unwind	contextual	core.project-manifests	manifest-unwind-policy-clause	implemented
frame_pointers	contextual	core.project-manifests	manifest-frame-pointer-policy-clause	implemented
verify	contextual	core.project-manifests	manifest-verification-block	implemented
transcript	contextual	core.project-manifests	manifest-transcript-contract-clause	implemented
report	contextual	core.project-manifests	manifest-report-contract-clause	implemented
instructions	contextual	core.project-manifests	manifest-code-verification-field	implemented
families	contextual	core.project-manifests	manifest-code-verification-field	implemented
bytes	contextual	core.project-manifests	manifest-code-verification-field	implemented
prologue	contextual	core.project-manifests	manifest-code-verification-field	implemented
spill_slots	contextual	core.project-manifests	manifest-code-verification-field	implemented
veneers	contextual	core.project-manifests	manifest-code-verification-field	implemented
reproducible	contextual	core.project-manifests	manifest-profile-variant	implemented
environment	contextual	core.project-manifests	manifest-layout-owner-variant	implemented
line_tables	contextual	core.project-manifests	manifest-debug-policy-variant	implemented
full	contextual	core.project-manifests	manifest-debug-policy-variant	implemented
tables	contextual	core.project-manifests	manifest-unwind-policy-variant	implemented
minimal	contextual	core.project-manifests	manifest-frame-pointer-policy-variant	implemented
all	contextual	core.callable-contracts|core.project-manifests	effect-bound-wildcard|manifest-frame-pointer-policy-variant	implemented
present	contextual	core.project-manifests	manifest-prologue-variant	implemented
absent	contextual	core.project-manifests	manifest-prologue-variant	implemented
adr	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
arithmetic	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
branch	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
compare	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
hint	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
load_store	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
logical	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
move	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
other	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
system	contextual	core.project-manifests	manifest-instruction-family-variant	implemented
size	contextual	core.layout	layout-region-size-marker|layout-symbol-expression-callee	implemented
after	contextual	core.layout	layout-section-argument	implemented
in	contextual	core.callable-contracts|core.layout|core.control-flow|core.checked-assembly	declaration-parameter-placement|callable-parameter-placement|callable-result-placement|local-var-placement|layout-section-argument|for-range-separator|asm-parameter-placement|asm-result-placement	implemented
arch	contextual	core.target-operations	target-argument-label	implemented
cpu	contextual	core.target-operations	target-argument-label	implemented
el	contextual	core.target-operations	target-argument-label	implemented
cache_line	contextual	core.target-operations	target-argument-label	implemented
features	contextual	core.target-operations	target-argument-label	implemented
single_instance_tpidr_el1	contextual	core.target-operations	target-per-cpu-realization	implemented
device_memory	contextual	core.target-operations	target-argument-label	implemented
abi	contextual	core.target-operations	target-requirement-label	implemented
bool	unshadowable	core.builtin-types	type	implemented
string	unshadowable	core.builtin-types	type	implemented
u8	unshadowable	core.builtin-types	type	implemented
u16	unshadowable	core.builtin-types	type	implemented
u32	unshadowable	core.builtin-types	type	implemented
u64	unshadowable	core.builtin-types	type	implemented
i8	unshadowable	core.builtin-types	type	implemented
i16	unshadowable	core.builtin-types	type	implemented
i32	unshadowable	core.builtin-types	type	implemented
i64	unshadowable	core.builtin-types	type	implemented
f32	unshadowable	core.builtin-types	type	implemented
f64	unshadowable	core.builtin-types	type	implemented
core	unshadowable	core.packages	module-root	implemented
#addr_of	unshadowable	core.meta-operations	expression	implemented
#align_of	unshadowable	core.meta-operations	expression	implemented
#cache_line_width	unshadowable	core.meta-operations	expression	implemented
#dedent	unshadowable	core.meta-operations	expression	implemented
#else	unshadowable	core.meta-operations	compile-time-branch	implemented
#field_offset	unshadowable	core.meta-operations	expression	implemented
#if	unshadowable	core.meta-operations	declaration|expression|statement	implemented
#len	unshadowable	core.meta-operations	expression	implemented
#percpu_offset_of	unshadowable	core.meta-operations	expression	implemented
#requires	unshadowable	core.meta-operations	declaration	implemented
#size_of	unshadowable	core.meta-operations	expression	implemented
#static_assert	unshadowable	core.meta-operations	declaration|statement	implemented
#tag_of	unshadowable	core.meta-operations	expression	implemented
#target	unshadowable	core.meta-operations	declaration	implemented
